Model,Config,Theoretical params,Measured params,Theoretical FLOPs,FlopCounterMode FLOPs,Params rel. error (%),FLOPs rel. error (%)
MLP,"L=1, N=15",301,301,540,540,0.0,0.0
MLP,"L=1, N=25",751,751,1400,1400,0.0,0.0
MLP,"L=1, N=35",1401,1401,2660,2660,0.0,0.0
MLP,"L=1, N=50",2751,2751,5300,5300,0.0,0.0
MLP,"L=1, N=75",6001,6001,11700,11700,0.0,0.0
MLP,"L=2, N=15",541,541,990,990,0.0,0.0
MLP,"L=2, N=25",1401,1401,2650,2650,0.0,0.0
MLP,"L=2, N=35",2661,2661,5110,5110,0.0,0.0
MLP,"L=2, N=50",5301,5301,10300,10300,0.0,0.0
MLP,"L=2, N=75",11701,11701,22950,22950,0.0,0.0
MLP,"L=3, N=15",781,781,1440,1440,0.0,0.0
MLP,"L=3, N=25",2051,2051,3900,3900,0.0,0.0
MLP,"L=3, N=35",3921,3921,7560,7560,0.0,0.0
MLP,"L=3, N=50",7851,7851,15300,15300,0.0,0.0
MLP,"L=3, N=75",17401,17401,34200,34200,0.0,0.0
KAN,"L=1, N=15, G=3, k=2",315,315,540,540,0.0,0.0
KAN,"L=1, N=15, G=3, k=3",360,360,630,630,0.0,0.0
KAN,"L=1, N=15, G=3, k=4",405,405,720,720,0.0,0.0
KAN,"L=1, N=15, G=5, k=2",405,405,720,720,0.0,0.0
KAN,"L=1, N=15, G=5, k=3",450,450,810,810,0.0,0.0
KAN,"L=1, N=15, G=5, k=4",495,495,900,900,0.0,0.0
KAN,"L=1, N=15, G=7, k=2",495,495,900,900,0.0,0.0
KAN,"L=1, N=15, G=7, k=3",540,540,990,990,0.0,0.0
KAN,"L=1, N=15, G=7, k=4",585,585,1080,1080,0.0,0.0
KAN,"L=1, N=25, G=3, k=2",525,525,900,900,0.0,0.0
KAN,"L=1, N=25, G=3, k=3",600,600,1050,1050,0.0,0.0
KAN,"L=1, N=25, G=3, k=4",675,675,1200,1200,0.0,0.0
KAN,"L=1, N=25, G=5, k=2",675,675,1200,1200,0.0,0.0
KAN,"L=1, N=25, G=5, k=3",750,750,1350,1350,0.0,0.0
KAN,"L=1, N=25, G=5, k=4",825,825,1500,1500,0.0,0.0
KAN,"L=1, N=25, G=7, k=2",825,825,1500,1500,0.0,0.0
KAN,"L=1, N=25, G=7, k=3",900,900,1650,1650,0.0,0.0
KAN,"L=1, N=25, G=7, k=4",975,975,1800,1800,0.0,0.0
KAN,"L=1, N=35, G=3, k=2",735,735,1260,1260,0.0,0.0
KAN,"L=1, N=35, G=3, k=3",840,840,1470,1470,0.0,0.0
KAN,"L=1, N=35, G=3, k=4",945,945,1680,1680,0.0,0.0
KAN,"L=1, N=35, G=5, k=2",945,945,1680,1680,0.0,0.0
KAN,"L=1, N=35, G=5, k=3",1050,1050,1890,1890,0.0,0.0
KAN,"L=1, N=35, G=5, k=4",1155,1155,2100,2100,0.0,0.0
KAN,"L=1, N=35, G=7, k=2",1155,1155,2100,2100,0.0,0.0
KAN,"L=1, N=35, G=7, k=3",1260,1260,2310,2310,0.0,0.0
KAN,"L=1, N=35, G=7, k=4",1365,1365,2520,2520,0.0,0.0
KAN,"L=2, N=15, G=3, k=2",1890,1890,3240,3240,0.0,0.0
KAN,"L=2, N=15, G=3, k=3",2160,2160,3780,3780,0.0,0.0
KAN,"L=2, N=15, G=3, k=4",2430,2430,4320,4320,0.0,0.0
KAN,"L=2, N=15, G=5, k=2",2430,2430,4320,4320,0.0,0.0
KAN,"L=2, N=15, G=5, k=3",2700,2700,4860,4860,0.0,0.0
KAN,"L=2, N=15, G=5, k=4",2970,2970,5400,5400,0.0,0.0
KAN,"L=2, N=15, G=7, k=2",2970,2970,5400,5400,0.0,0.0
KAN,"L=2, N=15, G=7, k=3",3240,3240,5940,5940,0.0,0.0
KAN,"L=2, N=15, G=7, k=4",3510,3510,6480,6480,0.0,0.0
KAN,"L=2, N=25, G=3, k=2",4900,4900,8400,8400,0.0,0.0
KAN,"L=2, N=25, G=3, k=3",5600,5600,9800,9800,0.0,0.0
KAN,"L=2, N=25, G=3, k=4",6300,6300,11200,11200,0.0,0.0
KAN,"L=2, N=25, G=5, k=2",6300,6300,11200,11200,0.0,0.0
KAN,"L=2, N=25, G=5, k=3",7000,7000,12600,12600,0.0,0.0
KAN,"L=2, N=25, G=5, k=4",7700,7700,14000,14000,0.0,0.0
KAN,"L=2, N=25, G=7, k=2",7700,7700,14000,14000,0.0,0.0
KAN,"L=2, N=25, G=7, k=3",8400,8400,15400,15400,0.0,0.0
KAN,"L=2, N=25, G=7, k=4",9100,9100,16800,16800,0.0,0.0
KAN,"L=2, N=35, G=3, k=2",9310,9310,15960,15960,0.0,0.0
KAN,"L=2, N=35, G=3, k=3",10640,10640,18620,18620,0.0,0.0
KAN,"L=2, N=35, G=3, k=4",11970,11970,21280,21280,0.0,0.0
KAN,"L=2, N=35, G=5, k=2",11970,11970,21280,21280,0.0,0.0
KAN,"L=2, N=35, G=5, k=3",13300,13300,23940,23940,0.0,0.0
KAN,"L=2, N=35, G=5, k=4",14630,14630,26600,26600,0.0,0.0
KAN,"L=2, N=35, G=7, k=2",14630,14630,26600,26600,0.0,0.0
KAN,"L=2, N=35, G=7, k=3",15960,15960,29260,29260,0.0,0.0
KAN,"L=2, N=35, G=7, k=4",17290,17290,31920,31920,0.0,0.0
KAN,"L=3, N=15, G=3, k=2",3465,3465,5940,5940,0.0,0.0
KAN,"L=3, N=15, G=3, k=3",3960,3960,6930,6930,0.0,0.0
KAN,"L=3, N=15, G=3, k=4",4455,4455,7920,7920,0.0,0.0
KAN,"L=3, N=15, G=5, k=2",4455,4455,7920,7920,0.0,0.0
KAN,"L=3, N=15, G=5, k=3",4950,4950,8910,8910,0.0,0.0
KAN,"L=3, N=15, G=5, k=4",5445,5445,9900,9900,0.0,0.0
KAN,"L=3, N=15, G=7, k=2",5445,5445,9900,9900,0.0,0.0
KAN,"L=3, N=15, G=7, k=3",5940,5940,10890,10890,0.0,0.0
KAN,"L=3, N=15, G=7, k=4",6435,6435,11880,11880,0.0,0.0
KAN,"L=3, N=25, G=3, k=2",9275,9275,15900,15900,0.0,0.0
KAN,"L=3, N=25, G=3, k=3",10600,10600,18550,18550,0.0,0.0
KAN,"L=3, N=25, G=3, k=4",11925,11925,21200,21200,0.0,0.0
KAN,"L=3, N=25, G=5, k=2",11925,11925,21200,21200,0.0,0.0
KAN,"L=3, N=25, G=5, k=3",13250,13250,23850,23850,0.0,0.0
KAN,"L=3, N=25, G=5, k=4",14575,14575,26500,26500,0.0,0.0
KAN,"L=3, N=25, G=7, k=2",14575,14575,26500,26500,0.0,0.0
KAN,"L=3, N=25, G=7, k=3",15900,15900,29150,29150,0.0,0.0
KAN,"L=3, N=25, G=7, k=4",17225,17225,31800,31800,0.0,0.0
KAN,"L=3, N=35, G=3, k=2",17885,17885,30660,30660,0.0,0.0
KAN,"L=3, N=35, G=3, k=3",20440,20440,35770,35770,0.0,0.0
KAN,"L=3, N=35, G=3, k=4",22995,22995,40880,40880,0.0,0.0
KAN,"L=3, N=35, G=5, k=2",22995,22995,40880,40880,0.0,0.0
KAN,"L=3, N=35, G=5, k=3",25550,25550,45990,45990,0.0,0.0
KAN,"L=3, N=35, G=5, k=4",28105,28105,51100,51100,0.0,0.0
KAN,"L=3, N=35, G=7, k=2",28105,28105,51100,51100,0.0,0.0
KAN,"L=3, N=35, G=7, k=3",30660,30660,56210,56210,0.0,0.0
KAN,"L=3, N=35, G=7, k=4",33215,33215,61320,61320,0.0,0.0
