number,value,datetime_start,datetime_complete,duration,params_grid_size,params_hidden_layers,params_hidden_units,params_learning_rate,params_spline_order,user_attrs_compute_time_sec,user_attrs_err_k,user_attrs_err_u,system_attrs_tpe:relative_params:0,state
0,0.005499871872629574,2026-09-20 01:43:39.676389,2026-09-20 01:49:38.227091,0 days 00:05:58.550702,7,2,15,0.001,4,358.53744673728943,0.002724577846757068,0.008275165898502081,,COMPLETE
1,0.21118667696731255,2026-09-20 01:49:38.227982,2026-09-20 01:53:06.208996,0 days 00:03:27.981014,3,1,35,0.01,3,207.9731228351593,0.25870089651656136,0.16367245741806374,,COMPLETE
2,0.0040539914932400285,2026-09-20 01:53:06.209531,2026-09-20 01:59:26.740759,0 days 00:06:20.531228,5,3,25,0.001,3,380.52522921562195,0.002829549464598154,0.005278433521881903,,COMPLETE
3,0.003417226914315934,2026-09-20 01:59:26.741290,2026-09-20 02:05:33.213677,0 days 00:06:06.472387,3,2,15,0.01,4,366.4668083190918,0.0014139228378417454,0.0054205309907901225,,COMPLETE
4,0.009694126150217596,2026-09-20 02:05:33.214149,2026-09-20 02:12:26.442023,0 days 00:06:53.227874,7,3,35,0.001,3,413.21388149261475,0.013989875022176915,0.005398377278258278,,COMPLETE
5,0.00445351367337235,2026-09-20 02:12:26.443396,2026-09-20 02:17:39.926273,0 days 00:05:13.482877,5,2,35,0.0001,3,313.4705722332001,0.002305831954503869,0.006601195392240831,,COMPLETE
6,0.018206084824296854,2026-09-20 02:17:39.927229,2026-09-20 02:19:14.724173,0 days 00:01:34.796944,3,2,15,0.01,2,94.7907166481018,0.019810406379707803,0.016601763268885905,,COMPLETE
7,0.0030944656776181042,2026-09-20 02:19:14.724779,2026-09-20 02:25:50.070018,0 days 00:06:35.345239,5,3,25,0.0001,3,395.334796667099,0.0020074206594111396,0.004181510695825069,,COMPLETE
8,0.002168916341299684,2026-09-20 02:25:50.070727,2026-09-20 02:34:06.830366,0 days 00:08:16.759639,5,3,25,0.01,4,496.7452697753906,0.002778189590297704,0.0015596430923016645,,COMPLETE
9,0.004363325787495656,2026-09-20 02:34:06.831512,2026-09-20 02:40:10.945269,0 days 00:06:04.113757,3,2,15,0.0001,4,364.1069972515106,0.002407322402583962,0.006319329172407349,,COMPLETE
10,0.23092269517351827,2026-09-20 02:40:10.945785,2026-09-20 02:44:34.550691,0 days 00:04:23.604906,5,1,25,0.01,4,263.59680223464966,0.403584750837731,0.058260639509305545,"{""grid_size"": 5, ""hidden_layers"": 1, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
11,0.004148272501998054,2026-09-20 02:44:34.551726,2026-09-20 02:52:50.909778,0 days 00:08:16.358052,5,3,25,0.0001,4,496.3420317173004,0.004103048935911872,0.004193496068084235,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
12,0.006772615292871015,2026-09-20 02:52:50.911262,2026-09-20 02:54:59.324101,0 days 00:02:08.412839,5,3,25,0.01,2,128.40527367591858,0.008557480489896,0.00498775009584603,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 2}",COMPLETE
13,0.0034434864717349622,2026-09-20 02:54:59.324650,2026-09-20 03:01:35.798106,0 days 00:06:36.473456,5,3,25,0.0001,3,396.4598026275635,0.0025894583508672435,0.004297514592602681,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.0001, ""spline_order"": 3}",COMPLETE
14,0.003033954708479758,2026-09-20 03:01:35.799052,2026-09-20 03:10:12.193989,0 days 00:08:36.394937,5,3,35,0.01,4,516.3798184394836,0.0037419464871210222,0.002325962929838494,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 35, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
15,0.006507446037215996,2026-09-20 03:10:12.195053,2026-09-20 03:18:41.466182,0 days 00:08:29.271129,5,3,35,0.01,4,509.252991437912,0.010043076831509153,0.002971815242922838,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 35, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
16,0.0055645331328382786,2026-09-20 03:18:41.467394,2026-09-20 03:22:43.169901,0 days 00:04:01.702507,7,3,25,0.01,4,241.6868441104889,0.006972740428378407,0.004156325837298149,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
17,0.03393323589867844,2026-09-20 03:22:43.171019,2026-09-20 03:27:13.483906,0 days 00:04:30.312887,7,1,35,0.01,4,270.2987017631531,0.0475313633489217,0.020335108448435186,"{""grid_size"": 7, ""hidden_layers"": 1, ""hidden_units"": 35, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
18,0.006038562784289532,2026-09-20 03:27:13.484934,2026-09-20 03:30:55.586864,0 days 00:03:42.101930,5,3,15,0.01,4,222.087082862854,0.0058723750558762906,0.006204750512702774,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
19,0.0063182623645564135,2026-09-20 03:30:55.587546,2026-09-20 03:33:05.618251,0 days 00:02:10.030705,3,3,35,0.01,2,130.021879196167,0.006125150057679761,0.006511374671433066,"{""grid_size"": 3, ""hidden_layers"": 3, ""hidden_units"": 35, ""learning_rate"": 0.01, ""spline_order"": 2}",COMPLETE
20,0.004597777053961198,2026-09-20 03:33:05.618737,2026-09-20 03:39:42.199545,0 days 00:06:36.580808,5,2,35,0.001,4,396.56633377075195,0.00434970412539951,0.004845849982522887,"{""grid_size"": 5, ""hidden_layers"": 2, ""hidden_units"": 35, ""learning_rate"": 0.001, ""spline_order"": 4}",COMPLETE
21,0.24566991699166285,2026-09-20 03:39:42.200491,2026-09-20 03:43:13.922810,0 days 00:03:31.722319,5,1,15,0.0001,3,211.71378564834595,0.42191558290908854,0.06942425107423714,"{""grid_size"": 5, ""hidden_layers"": 1, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 3}",COMPLETE
22,0.003937357125316233,2026-09-20 03:43:13.923392,2026-09-20 03:47:08.785439,0 days 00:03:54.862047,5,3,25,0.01,4,234.84583497047424,0.004362244035050817,0.0035124702155816495,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
23,0.006678462338125456,2026-09-20 03:47:08.786443,2026-09-20 03:55:35.215408,0 days 00:08:26.428965,3,3,35,0.0001,4,506.4092936515808,0.007641659725469361,0.005715264950781551,"{""grid_size"": 3, ""hidden_layers"": 3, ""hidden_units"": 35, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
24,0.004530292920047148,2026-09-20 03:55:35.217002,2026-09-20 04:00:39.558644,0 days 00:05:04.341642,7,2,25,0.0001,3,304.3248038291931,0.005010315485293991,0.004050270354800304,"{""grid_size"": 7, ""hidden_layers"": 2, ""hidden_units"": 25, ""learning_rate"": 0.0001, ""spline_order"": 3}",COMPLETE
25,0.20694450131676623,2026-09-20 04:00:39.559646,2026-09-20 04:01:48.386897,0 days 00:01:08.827251,5,1,25,0.0001,2,68.81819820404053,0.15793525574808728,0.25595374688544514,"{""grid_size"": 5, ""hidden_layers"": 1, ""hidden_units"": 25, ""learning_rate"": 0.0001, ""spline_order"": 2}",COMPLETE
26,0.012068174510011494,2026-09-20 04:01:48.387368,2026-09-20 04:08:35.030270,0 days 00:06:46.642902,5,3,35,0.01,3,406.62645196914673,0.02153080359605413,0.0026055454239688578,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 35, ""learning_rate"": 0.01, ""spline_order"": 3}",COMPLETE
27,0.018727662213984007,2026-09-20 04:08:35.031787,2026-09-20 04:10:49.189490,0 days 00:02:14.157703,5,3,35,0.001,2,134.1431782245636,0.017167573482630007,0.020287750945338006,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 35, ""learning_rate"": 0.001, ""spline_order"": 2}",COMPLETE
28,0.00504485068360373,2026-09-20 04:10:49.190431,2026-09-20 04:17:27.579834,0 days 00:06:38.389403,5,2,35,0.01,4,398.3703889846802,0.006414755033691912,0.0036749463335155473,"{""grid_size"": 5, ""hidden_layers"": 2, ""hidden_units"": 35, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
29,0.0025273637044867193,2026-09-20 04:17:27.581354,2026-09-20 04:23:52.857733,0 days 00:06:25.276379,7,3,15,0.0001,3,385.2639904022217,0.002536108477251465,0.0025186189317219737,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 3}",COMPLETE
30,0.002862905115116019,2026-09-20 04:23:52.858333,2026-09-20 04:30:20.127222,0 days 00:06:27.268889,7,3,15,0.0001,3,387.25883293151855,0.002270472584343154,0.003455337645888884,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 3}",COMPLETE
31,0.0026235778272960877,2026-09-20 04:30:20.127876,2026-09-20 04:36:45.028704,0 days 00:06:24.900828,7,3,15,0.0001,3,384.89198756217957,0.003041608133165148,0.002205547521427027,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 3}",COMPLETE
32,0.002997619649742455,2026-09-20 04:36:45.029321,2026-09-20 04:43:09.479328,0 days 00:06:24.450007,7,3,15,0.0001,3,384.44099164009094,0.002784294710035757,0.003210944589449153,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 3}",COMPLETE
33,0.1806277679514418,2026-09-20 04:43:09.479992,2026-09-20 04:45:44.448522,0 days 00:02:34.968530,7,3,35,0.0001,2,154.95157265663147,0.20138990233547924,0.15986563356740435,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 35, ""learning_rate"": 0.0001, ""spline_order"": 2}",COMPLETE
34,0.0017506756628371065,2026-09-20 04:45:44.449648,2026-09-20 04:53:45.631391,0 days 00:08:01.181743,7,3,15,0.0001,4,481.165495634079,0.0016924165742630932,0.00180893475141112,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
