model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,lambda_pde_scheduler,adaptive_weights,alpha,update_every,regularization,pde_alpha,pde_beta,epsilon,parameters,flops,training_time_sec,compute_time_sec,evaluation_time_ms,first_derivative_time_ms,second_derivative_time_ms,err_u_global,err_k_global,err_u_inside,err_u_outside,err_k_inside,err_k_outside,mean_global_error,timestamp
KAN,2,15,0.001,2000,2000,,7,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,7020,13024,326.9332739780002,358.53744673728943,48.0038700006844,521.2087200015958,747.6773139969737,0.008275165898502081,0.002724577846757068,0.010999622096002793,0.007367013832668511,0.0004616687965862409,0.003478880863480677,0.005499871872629574,2026-09-20_01-43-39
KAN,1,35,0.01,2000,2000,,3,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1680,3014,189.37210475299798,207.9731228351593,22.94549400176038,57.92418000055477,207.08860000013374,0.16367245741806374,0.25870089651656136,0.08805153535207687,0.18887943144005936,0.2886327414473758,0.2487236148729565,0.21118667696731255,2026-09-20_01-49-38
KAN,3,25,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26500,47854,345.9687403880016,380.52522921562195,71.22587800040492,158.97029499683413,2053.197999997792,0.005278433521881903,0.002829549464598154,0.008128048944333008,0.004328561714398201,0.001452097727483599,0.003288700043636339,0.0040539914932400285,2026-09-20_01-53-06
KAN,2,15,0.01,2000,2000,,3,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,4860,8704,333.47362786699887,366.4668083190918,29.749200999503955,90.53651499925763,221.84012599973357,0.0054205309907901225,0.0014139228378417454,0.012062630006697316,0.003206497985487724,0.0004288471027384726,0.0017422814162095029,0.003417226914315934,2026-09-20_01-59-26
KAN,3,35,0.001,2000,2000,,7,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,61320,112634,354.6457021440001,413.21388149261475,98.39672499947483,4959.966462000011,12705.698073001258,0.005398377278258278,0.013989875022176915,0.007257314710607887,0.004778731467475075,0.004243537939659339,0.017238654049682774,0.009694126150217596,2026-09-20_02-05-33
KAN,2,35,0.0001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26600,48024,274.1065694579993,313.4705722332001,803.9037170019583,2757.118506000552,6264.688498999021,0.006601195392240831,0.002305831954503869,0.012060338710178956,0.00478148095292812,0.001187473368198237,0.0026786181499390796,0.00445351367337235,2026-09-20_02-12-26
KAN,2,15,0.01,2000,2000,,3,2,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,3780,6544,85.57861231700008,94.7907166481018,9.936875001585577,29.12460299921804,56.60383400027058,0.016601763268885905,0.019810406379707803,0.02129982450215869,0.015035742857794977,0.02319070837327987,0.018683639048517112,0.018206084824296854,2026-09-20_02-17-39
KAN,3,25,0.0001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26500,47854,356.23293980299786,395.334796667099,173.00663099740632,184.55483599973377,2327.6516160003666,0.004181510695825069,0.0020074206594111396,0.007376806364371764,0.0031164121396428366,0.0011451039783178742,0.0022948595531088944,0.0030944656776181042,2026-09-20_02-19-14
KAN,3,25,0.01,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,29150,53154,439.66430778299764,496.7452697753906,664.9831049981003,2366.1123359997873,8516.55190800011,0.0015596430923016645,0.002778189590297704,0.002721203795874802,0.0011724561911106188,0.0013977819982954468,0.003238325454298456,0.002168916341299684,2026-09-20_02-25-50
KAN,2,15,0.0001,2000,2000,,3,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,4860,8704,334.15028606299893,364.1069972515106,28.88524599984521,91.11959700021544,283.43389599831426,0.006319329172407349,0.002407322402583962,0.01122552524977395,0.004683930479951815,0.0013216283033894492,0.0027692204356487998,0.004363325787495656,2026-09-20_02-34-06
