model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,lambda_pde_scheduler,adaptive_weights,alpha,update_every,regularization,pde_alpha,pde_beta,epsilon,parameters,flops,training_time_sec,compute_time_sec,evaluation_time_ms,first_derivative_time_ms,second_derivative_time_ms,err_u_global,err_k_global,err_u_inside,err_u_outside,err_k_inside,err_k_outside,mean_global_error,timestamp
KAN,2,15,0.001,2000,2000,,7,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,7020,13024,362.481669464,369.5619204044342,52.73329999999987,138.43209200001638,311.28697300005115,0.006694483874308079,0.0017385564441353175,0.011141280235694224,0.0038439733862400374,0.00048040684062025473,0.0025450626002347164,0.004216520159221698,2026-09-14_21-58-03
KAN,1,35,0.01,2000,2000,,3,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1680,3014,202.512858725,206.26505208015442,28.544719000024088,79.56476499998644,145.0786480000943,0.08191966671657393,0.3100868197245004,0.07171012739891172,0.08846424320225484,0.3122376687785241,0.3087080703308955,0.19600324322053717,2026-09-14_22-04-12
KAN,3,25,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26500,47854,369.97395631899997,380.32541012763977,79.58878999988883,170.30092000004515,1677.0545950000724,0.006133946320388312,0.0023490958768102987,0.009463963586719889,0.003999319867611659,0.00155967214828936,0.002855136728426285,0.004241521098599306,2026-09-14_22-07-39
KAN,2,15,0.01,2000,2000,,3,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,4860,8704,350.2855903520001,358.6173150539398,34.009380000043166,94.03320699993856,287.23055900013605,0.006127324477478784,0.0009839922835204317,0.011044045175503251,0.0029755804402836115,0.0004489173813568772,0.0013269890156765564,0.0035556583804996077,2026-09-14_22-13-59
KAN,3,35,0.001,2000,2000,,7,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,61320,112634,378.642694637,403.0464198589325,92.25906599999689,2472.2153299999263,6743.484893999948,0.004803094071883693,0.010273107383618044,0.00834929898722409,0.0025298857928193344,0.004203883022436973,0.014163635820272575,0.007538100727750869,2026-09-14_22-19-58
KAN,2,35,0.0001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26600,48024,277.6374954769999,292.19208216667175,473.14003600013166,1667.4423079998633,3392.8833230002056,0.008803128390118814,0.001768211041496852,0.014872793486595273,0.004912317430839034,0.0012341131487134298,0.00211058148558879,0.005285669715807833,2026-09-14_22-26-41
KAN,2,15,0.01,2000,2000,,3,2,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,3780,6544,84.8802680660001,87.28933095932007,12.223345999700541,30.111539000245102,66.35052499996164,0.01293946585425275,0.020702553945151577,0.018665201633040047,0.009269122406312176,0.0224926444349595,0.019555060041428554,0.016821009899702165,2026-09-14_22-31-33
KAN,3,25,0.0001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26500,47854,370.64103097199995,384.54286193847656,162.55323499990482,251.25321199993778,1669.265398999869,0.003944232484198764,0.001480148280581601,0.006047502136814993,0.0025959827068806687,0.0009711663008652963,0.0018064187803997454,0.0027121903823901826,2026-09-14_22-33-00
KAN,3,25,0.01,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,29150,53154,451.480168394,475.4199240207672,406.1238340000273,1653.5638750001453,5062.091069000417,0.001196034512314754,0.00199151621764539,0.0015640557669227126,0.0009601234516686269,0.0013647113861530186,0.0023933141865507567,0.0015937753649800722,2026-09-14_22-39-25
KAN,2,15,0.0001,2000,2000,,3,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,4860,8704,339.509597105,349.79624605178833,28.329713999937667,87.24911799981783,254.8475389999112,0.005256483630560142,0.0014674235683514816,0.005964105335962533,0.004802879973250918,0.0009884212627294588,0.0017744763283655985,0.0033619535994558114,2026-09-14_22-47-20
