model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,pde_alpha,pde_beta,epsilon,parameters,training_time_sec,compute_time_sec,evaluation_time_ms,first_derivative_time_ms,second_derivative_time_ms,err_u_global,err_k_global,err_u_inside,err_u_outside,err_k_inside,err_k_outside,mean_global_error,timestamp
KAN,2,15,0.0001,2000,2000,,5,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,5940,339.41329285499523,349.6805257797241,47.32671499368735,111.7750589910429,260.2589260059176,0.0026561231908039063,0.0007601018090128856,0.0037146071257475634,0.0023032952124893537,0.0003855423850525416,0.0008849549503330001,0.0017081124999083958,2026-09-20_20-46-52
KAN,3,35,0.001,2000,2000,,7,3,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,61320,368.35935216200596,394.1302959918976,130.53121899429243,2750.2029040042544,10811.404781998135,0.002954120991034585,0.000765039389007962,0.004997782834914372,0.0022729003764079886,0.0008371942142689281,0.00074098778058764,0.0018595801900212735,2026-09-20_20-52-41
KAN,1,25,0.001,2000,2000,,7,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,1950,251.66376039400348,264.1387903690338,45.0072050007293,1305.3099490061868,3008.117257995764,0.004432464404925186,0.00105444307774724,0.005638981668403251,0.00403029198376583,0.0007202293007621469,0.0011658476700756044,0.0027434537413362128,2026-09-20_20-59-15
KAN,1,35,0.01,2000,2000,,5,3,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,2100,210.37988756799314,220.22023129463196,58.64537399611436,775.246099990909,1608.6805889935931,0.017073966172792207,0.1086767804678038,0.025375847800255612,0.014306672296971069,0.1327871198797542,0.1006400006638203,0.062875373320298,2026-09-20_21-03-40
KAN,3,35,0.001,2000,2000,,5,2,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,45990,122.67705376099912,131.38928174972534,52.29774299368728,853.9810719958041,3076.0469990054844,0.01522651152025527,0.008165909070929876,0.01694992189620449,0.01465204139493886,0.008407081405349941,0.008085518292789853,0.011696210295592573,2026-09-20_21-07-20
KAN,2,35,0.001,2000,2000,,3,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,23940,360.78620246000355,381.4557263851166,128.06448500487022,2883.3108999970136,6433.84021599195,0.003061808914699588,0.001511179061140929,0.0031846377769404926,0.003020865960619286,0.0013863061485211762,0.0015528033653475135,0.0022864939879202583,2026-09-20_21-09-31
KAN,3,25,0.01,2000,2000,,3,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,23850,474.4451557329885,499.8031470775604,106.05640099674929,2837.052953997045,6124.187134992098,0.0008809738463168475,0.0007950904152517421,0.0012900014612030782,0.0007446313080214374,0.00033565245527866696,0.0009482364019094336,0.0008380321307842948,2026-09-20_21-15-53
KAN,3,35,0.001,2000,2000,,5,3,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,51100,378.38785704999464,401.03746366500854,455.16183400468435,4157.658322001225,6974.722828002996,0.002504696531581326,0.0008888617550846145,0.0035907776431027896,0.002142669494407505,0.0007334859608656033,0.0009406536864909517,0.0016967791433329703,2026-09-20_21-24-13
KAN,2,35,0.01,2000,2000,,5,2,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,23940,92.24862134100113,98.1531753540039,35.79801799787674,1129.1109660087386,1685.0592120026704,0.006635319834589166,0.0020498297169546,0.009256363263328744,0.005761638691675972,0.002032985116142618,0.0020554445838919275,0.004342574775771883,2026-09-20_21-30-54
KAN,3,25,0.0001,2000,2000,,5,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,29150,475.2835451030114,504.32647585868835,125.27371499163564,3354.1228989925003,9423.626777002937,0.0017256244055373945,0.0006016408191484226,0.0018409120953928142,0.001687195175585588,0.0004774919445154404,0.0006430237773594167,0.0011636326123429085,2026-09-20_21-32-32
KAN,3,25,0.01,2000,2000,,3,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,23850,478.2849743160041,504.7285132408142,1248.9346189977368,3268.4768329927465,9119.82963999617,0.00137720669520516,0.0007838310164223325,0.0016330816051457041,0.0012919150585583119,0.00020161384501792375,0.0009779034068904686,0.0010805188558137462,2026-09-20_21-40-56
KAN,3,25,0.01,2000,2000,,3,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,23850,473.0143723219953,498.1955523490906,1222.0537890098058,3180.8277560048737,8912.972067002556,0.0010647069370429102,0.0007547825407043757,0.0012882841489102828,0.0009901811997537857,0.00019652571056033254,0.00094086815075239,0.0009097447388736429,2026-09-20_21-49-21
KAN,3,15,0.01,2000,2000,,3,2,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,6930,121.7932838859997,124.60361933708191,22.922796997590922,47.61639500793535,90.83311699214391,0.010011452889048408,0.00293821022785928,0.010022345532391728,0.010007822007933969,0.0024528110147274376,0.0031000099655698952,0.006474831558453844,2026-09-20_21-57-39
KAN,1,25,0.01,2000,2000,,3,3,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,1200,214.5106888320006,220.36510109901428,135.29672900040168,358.4841550036799,751.9975169998361,0.015131875015452056,0.0013789826092136255,0.01442947988028888,0.015366006727173111,0.0011069218082197557,0.0014696695428782487,0.00825542881233284,2026-09-20_21-59-44
KAN,2,25,0.01,2000,2000,,7,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,18200,365.4838034449931,382.33811378479004,1082.0305939996615,2953.7756350036943,6925.744312000461,0.001261874972284343,0.0008033649986422029,0.0018669609087834992,0.0010601796601179573,0.0004925206207061976,0.000906979791287538,0.0010326199854632729,2026-09-20_22-03-24
KAN,3,35,0.01,2000,2000,,3,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,45990,480.66131744001177,505.99167561531067,1595.4302830068627,4639.140315004624,9917.02519300452,0.001680444062100082,0.001101612665008445,0.0014762679170729565,0.0017485027771091234,0.0007667167583088753,0.0012132446339083018,0.0013910283635542634,2026-09-20_22-09-46
KAN,3,15,0.01,2000,2000,,7,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,12870,475.66587041900493,490.42354917526245,464.0474319894565,2024.2866299959132,3489.737474999856,0.0014387167307074416,0.0007408328958788335,0.0014714358659299383,0.0014278103522999428,0.00030264492526213646,0.0008868955527510657,0.0010897748132931376,2026-09-20_22-18-12
KAN,1,15,0.0001,2000,2000,,3,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,810,257.49159608301125,258.5380959510803,14.365893002832308,49.32275200553704,104.33404899958987,0.08009639060901,0.08049297756884412,0.06392150677421235,0.08548801855394254,0.0900685272809324,0.07730112766481469,0.08029468408892707,2026-09-20_22-26-23
KAN,3,25,0.0001,2000,2000,,3,2,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,18550,129.61800441499508,131.69916343688965,30.20715300226584,70.04192899330519,161.73454299860168,0.4354571338255423,0.17921882492511473,0.5990193775787406,0.3809363859078095,0.15978982870699615,0.18569515699782094,0.30733797937532853,2026-09-20_22-30-41
KAN,3,25,0.01,2000,2000,,7,3,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,31800,387.9629268889985,403.04574942588806,1475.5297239898937,3899.5099309977377,8782.679332987755,0.0013086560045015166,0.0008453620683074913,0.0019324080870821842,0.001100738643641294,0.0004894306881466384,0.0009640058616944423,0.0010770090364045038,2026-09-20_22-32-53
