number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_layers,params_hidden_units,params_learning_rate,user_attrs_compute_time_sec,user_attrs_err_k,user_attrs_err_u,system_attrs_tpe:relative_params:0,state
0,0.06401409904405604,2026-09-15 10:21:28.729372,2026-09-15 10:22:31.041702,0 days 00:01:02.312330,Tanh,2,15,0.01,62.30615234375,0.10771156945632872,0.020316628631783358,,COMPLETE
1,0.08301306757146287,2026-09-15 10:22:31.042408,2026-09-15 10:23:35.161484,0 days 00:01:04.119076,Tanh,2,15,0.0001,64.11406898498535,0.15402609419279112,0.012000040950134622,,COMPLETE
2,0.008453929648355413,2026-09-15 10:23:35.162060,2026-09-15 10:24:44.801726,0 days 00:01:09.639666,Tanh,2,104,0.001,69.62185263633728,0.00029409675879015895,0.016613762537920667,,COMPLETE
3,0.0064085538897398235,2026-09-15 10:24:44.803513,2026-09-15 10:25:56.796083,0 days 00:01:11.992570,Sigmoid,2,90,0.001,71.9798367023468,0.0004180266929743029,0.012399081086505344,,COMPLETE
4,0.42696871602885067,2026-09-15 10:25:56.796912,2026-09-15 10:27:02.814545,0 days 00:01:06.017633,Tanh,1,15,0.01,66.0109646320343,0.764366435998588,0.08957099605911328,,COMPLETE
5,0.0023927128131492137,2026-09-15 10:27:02.815046,2026-09-15 10:28:23.077107,0 days 00:01:20.262061,Tanh,3,104,0.001,80.2500524520874,0.0001724787650290514,0.004612946861269376,,COMPLETE
6,0.00493459891098987,2026-09-15 10:28:23.078119,2026-09-15 10:29:37.098946,0 days 00:01:14.020827,Tanh,2,90,0.001,74.01245975494385,0.0004083700431365701,0.009460827778843169,,COMPLETE
7,0.24496662485139542,2026-09-15 10:29:37.099694,2026-09-15 10:30:49.788015,0 days 00:01:12.688321,Sigmoid,2,15,0.0001,72.6830587387085,0.4457004496084479,0.04423280009434295,,COMPLETE
8,0.42696871602885067,2026-09-15 10:30:49.788591,2026-09-15 10:31:49.313795,0 days 00:00:59.525204,Tanh,1,15,0.01,59.521010398864746,0.764366435998588,0.08957099605911328,,COMPLETE
9,0.07389805791197734,2026-09-15 10:31:49.314252,2026-09-15 10:32:59.828625,0 days 00:01:10.514373,Sigmoid,2,90,0.0001,70.50838851928711,0.1324625856912632,0.015333530132691488,,COMPLETE
10,0.003316178990879689,2026-09-15 10:32:59.829185,2026-09-15 10:34:20.169809,0 days 00:01:20.340624,Tanh,3,104,0.0001,80.33242440223694,0.0006735142211383143,0.005958843760621064,"{""activation"": ""Tanh"", ""hidden_layers"": 3, ""hidden_units"": 104, ""learning_rate"": 0.0001}",COMPLETE
11,0.003316178990879689,2026-09-15 10:34:20.170508,2026-09-15 10:35:34.129299,0 days 00:01:13.958791,Tanh,3,104,0.0001,73.94747734069824,0.0006735142211383143,0.005958843760621064,"{""activation"": ""Tanh"", ""hidden_layers"": 3, ""hidden_units"": 104, ""learning_rate"": 0.0001}",COMPLETE
12,0.1369638520547509,2026-09-15 10:35:34.130282,2026-09-15 10:36:54.568914,0 days 00:01:20.438632,Sigmoid,3,104,0.001,80.4263482093811,0.24541488571472223,0.028512818394779548,"{""activation"": ""Sigmoid"", ""hidden_layers"": 3, ""hidden_units"": 104, ""learning_rate"": 0.001}",COMPLETE
13,0.017611113581899762,2026-09-15 10:36:54.569971,2026-09-15 10:38:08.294819,0 days 00:01:13.724848,Tanh,3,15,0.001,73.71814751625061,0.027234895434550002,0.007987331729249522,"{""activation"": ""Tanh"", ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.001}",COMPLETE
14,0.024600940602287104,2026-09-15 10:38:08.295427,2026-09-15 10:38:27.411309,0 days 00:00:19.115882,Tanh,3,104,0.01,19.108599424362183,0.028701737363005787,0.020500143841568425,"{""activation"": ""Tanh"", ""hidden_layers"": 3, ""hidden_units"": 104, ""learning_rate"": 0.01}",COMPLETE
15,1.9914083462496353,2026-09-15 10:38:27.411973,2026-09-15 10:39:27.269685,0 days 00:00:59.857712,Sine,1,104,0.001,59.85176920890808,3.9220416271302216,0.06077506536904889,"{""activation"": ""Sine"", ""hidden_layers"": 1, ""hidden_units"": 104, ""learning_rate"": 0.001}",COMPLETE
16,0.0015705574045407616,2026-09-15 10:39:27.270238,2026-09-15 10:40:42.609308,0 days 00:01:15.339070,Sine,3,90,0.0001,75.3296446800232,0.0005879137808356147,0.0025532010282459084,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.0001}",COMPLETE
17,0.0015705574045407616,2026-09-15 10:40:42.610285,2026-09-15 10:42:04.455384,0 days 00:01:21.845099,Sine,3,90,0.0001,81.8345742225647,0.0005879137808356147,0.0025532010282459084,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.0001}",COMPLETE
18,0.0015705574045407616,2026-09-15 10:42:04.456162,2026-09-15 10:43:25.202198,0 days 00:01:20.746036,Sine,3,90,0.0001,80.73672580718994,0.0005879137808356147,0.0025532010282459084,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.0001}",COMPLETE
19,0.008551382095662304,2026-09-15 10:43:25.202956,2026-09-15 10:44:46.270880,0 days 00:01:21.067924,Sine,3,90,0.01,81.05679488182068,0.013747657887172212,0.003355106304152396,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.01}",COMPLETE
20,0.007199219357342846,2026-09-15 10:44:46.271659,2026-09-15 10:46:09.637598,0 days 00:01:23.365939,Sine,3,15,0.0001,83.3560094833374,0.007644217525180273,0.0067542211895054195,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001}",COMPLETE
21,0.0015705574045407616,2026-09-15 10:46:09.638348,2026-09-15 10:47:22.950193,0 days 00:01:13.311845,Sine,3,90,0.0001,73.30166721343994,0.0005879137808356147,0.0025532010282459084,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.0001}",COMPLETE
22,0.0042428244268616876,2026-09-15 10:47:22.950995,2026-09-15 10:48:36.744736,0 days 00:01:13.793741,Sine,2,90,0.0001,73.78620791435242,0.0005242397706528624,0.007961409083070513,"{""activation"": ""Sine"", ""hidden_layers"": 2, ""hidden_units"": 90, ""learning_rate"": 0.0001}",COMPLETE
23,0.039965913261379514,2026-09-15 10:48:36.745387,2026-09-15 10:48:49.731713,0 days 00:00:12.986326,Sine,1,90,0.0001,12.980993270874023,0.011535411285469598,0.06839641523728943,"{""activation"": ""Sine"", ""hidden_layers"": 1, ""hidden_units"": 90, ""learning_rate"": 0.0001}",COMPLETE
24,0.000730671142914815,2026-09-15 10:48:49.732225,2026-09-15 10:50:08.053635,0 days 00:01:18.321410,Sine,3,90,0.001,78.31019568443298,0.0003508895312785468,0.0011104527545510831,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
25,0.000730671142914815,2026-09-15 10:50:08.054913,2026-09-15 10:51:24.606439,0 days 00:01:16.551526,Sine,3,90,0.001,76.54124712944031,0.0003508895312785468,0.0011104527545510831,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
26,0.000730671142914815,2026-09-15 10:51:24.607608,2026-09-15 10:52:47.918260,0 days 00:01:23.310652,Sine,3,90,0.001,83.299387216568,0.0003508895312785468,0.0011104527545510831,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
27,0.000730671142914815,2026-09-15 10:52:47.919044,2026-09-15 10:54:09.511221,0 days 00:01:21.592177,Sine,3,90,0.001,81.58381772041321,0.0003508895312785468,0.0011104527545510831,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
28,2.0054244698518864,2026-09-15 10:54:09.511936,2026-09-15 10:55:16.756839,0 days 00:01:07.244903,Sine,1,90,0.001,67.22717452049255,3.897612525193314,0.113236414510459,"{""activation"": ""Sine"", ""hidden_layers"": 1, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
29,0.00820950373379449,2026-09-15 10:55:16.758383,2026-09-15 10:56:40.921824,0 days 00:01:24.163441,Sine,3,15,0.001,84.15178036689758,0.011710930539040076,0.004708076928548904,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.001}",COMPLETE
30,0.07124550357093826,2026-09-15 10:56:40.922666,2026-09-15 10:58:06.895107,0 days 00:01:25.972441,Sigmoid,3,90,0.001,85.96162247657776,0.12554075230279738,0.016950254839079144,"{""activation"": ""Sigmoid"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
31,0.000730671142914815,2026-09-15 10:58:06.895851,2026-09-15 10:59:27.306603,0 days 00:01:20.410752,Sine,3,90,0.001,80.39690375328064,0.0003508895312785468,0.0011104527545510831,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
32,0.002596403771553796,2026-09-15 10:59:27.307722,2026-09-15 11:00:39.501971,0 days 00:01:12.194249,Sine,2,90,0.001,72.18024015426636,0.0008567132198763545,0.004336094323231237,"{""activation"": ""Sine"", ""hidden_layers"": 2, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
33,0.0013665827391203158,2026-09-15 11:00:39.502935,2026-09-15 11:02:00.343224,0 days 00:01:20.840289,Sine,3,104,0.001,80.8196702003479,0.001143558129450781,0.0015896073487898506,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 104, ""learning_rate"": 0.001}",COMPLETE
34,0.005327453741762838,2026-09-15 11:02:00.344546,2026-09-15 11:03:24.037480,0 days 00:01:23.692934,Tanh,3,90,0.001,83.66836285591125,0.0003638177137934069,0.010291089769732269,"{""activation"": ""Tanh"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
35,0.000730671142914815,2026-09-15 11:03:24.038990,2026-09-15 11:04:48.994508,0 days 00:01:24.955518,Sine,3,90,0.001,84.94118428230286,0.0003508895312785468,0.0011104527545510831,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
36,0.21325207335987204,2026-09-15 11:04:48.995347,2026-09-15 11:05:54.500739,0 days 00:01:05.505392,Sigmoid,1,15,0.001,65.49870944023132,0.2882497148627566,0.1382544318569875,"{""activation"": ""Sigmoid"", ""hidden_layers"": 1, ""hidden_units"": 15, ""learning_rate"": 0.001}",COMPLETE
37,0.17921011483689747,2026-09-15 11:05:54.501425,2026-09-15 11:06:58.035391,0 days 00:01:03.533966,Sigmoid,1,104,0.01,63.514596939086914,0.33937346731043255,0.019046762363362398,"{""activation"": ""Sigmoid"", ""hidden_layers"": 1, ""hidden_units"": 104, ""learning_rate"": 0.01}",COMPLETE
38,0.0703936086664396,2026-09-15 11:06:58.037026,2026-09-15 11:08:16.979478,0 days 00:01:18.942452,Sigmoid,3,90,0.01,78.93109273910522,0.13016319974857496,0.010624017584304233,"{""activation"": ""Sigmoid"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.01}",COMPLETE
39,0.06382130992818702,2026-09-15 11:08:16.980139,2026-09-15 11:09:27.156130,0 days 00:01:10.175991,Sine,2,15,0.001,70.16841840744019,0.10211947919433098,0.02552314066204306,"{""activation"": ""Sine"", ""hidden_layers"": 2, ""hidden_units"": 15, ""learning_rate"": 0.001}",COMPLETE
40,0.000730671142914815,2026-09-15 11:09:27.156893,2026-09-15 11:10:43.585154,0 days 00:01:16.428261,Sine,3,90,0.001,76.41690587997437,0.0003508895312785468,0.0011104527545510831,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
41,0.000730671142914815,2026-09-15 11:10:43.586123,2026-09-15 11:12:02.294353,0 days 00:01:18.708230,Sine,3,90,0.001,78.6900908946991,0.0003508895312785468,0.0011104527545510831,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
42,0.000730671142914815,2026-09-15 11:12:02.295771,2026-09-15 11:13:21.517296,0 days 00:01:19.221525,Sine,3,90,0.001,79.20897126197815,0.0003508895312785468,0.0011104527545510831,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
43,0.005151224842900136,2026-09-15 11:13:21.518300,2026-09-15 11:14:38.917143,0 days 00:01:17.398843,Sine,3,15,0.01,77.3893473148346,0.007302292840033567,0.003000156845766706,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.01}",COMPLETE
44,0.01233605590717801,2026-09-15 11:14:38.917875,2026-09-15 11:15:47.017047,0 days 00:01:08.099172,Tanh,2,90,0.01,68.07687401771545,0.019819673325619243,0.0048524384887367765,"{""activation"": ""Tanh"", ""hidden_layers"": 2, ""hidden_units"": 90, ""learning_rate"": 0.01}",COMPLETE
