model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,lambda_pde_scheduler,adaptive_weights,alpha,update_every,regularization,pde_alpha,pde_beta,epsilon,parameters,flops,training_time_sec,compute_time_sec,evaluation_time_ms,first_derivative_time_ms,second_derivative_time_ms,err_u_global,err_k_global,err_u_inside,err_u_outside,err_k_inside,err_k_outside,mean_global_error,timestamp
MLP,2,15,0.01,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1082,1980,71.86792564100324,74.23283982276917,0.77785000030417,3.962602000683546,11.131223996926565,0.017639048099198255,0.09151494439172426,0.03630920179008561,0.011415663535569142,0.18238577535850198,0.06122466740279836,0.05457699624546126,2026-09-20_08-52-39
MLP,2,15,0.0001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1082,1980,82.46367617899523,85.09466981887817,0.7374439956038259,2.337320998776704,8.236665998992976,0.009873171275112535,0.12654671089354863,0.021268839512870754,0.006074615195859794,0.2781469093838565,0.07601331139677937,0.06820994108433058,2026-09-20_08-53-53
MLP,2,104,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,44514,87776,80.20665458699659,82.21355867385864,2.788058998703491,9.99748100002762,22.109800003818236,0.012430553729055325,0.0005581269897004871,0.03778130988567417,0.003980301676849042,0.00018909744200152143,0.0006811368389334758,0.006494340359377906,2026-09-20_08-55-18
MLP,2,90,0.001,2000,2000,Sigmoid(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,33482,65880,80.0272330969965,82.84145665168762,16.531548004422802,46.44100800214801,56.934182000986766,0.01068684123712485,0.000541494116056712,0.021142549921852022,0.00720160500888246,0.0004174758552082955,0.0005828335363395176,0.005614167676590781,2026-09-20_08-56-40
MLP,1,15,0.01,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,602,1080,72.2803751179963,74.223388671875,0.38879700150573626,1.2225879981997423,1.4620510046370327,0.08748534041198454,0.6835678943745246,0.10359178870225715,0.08211652431522701,1.0355485017951442,0.5662410252343182,0.38552661739325456,2026-09-20_08-58-03
MLP,3,104,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,66354,131040,88.02764490300615,90.7222580909729,3.618972004915122,7.478856001398526,25.66326699889032,0.0038541135377585804,0.00030675461716391357,0.009529965121506567,0.0019621630098425845,0.0001293298939732857,0.0003658961915607896,0.002080434077461247,2026-09-20_08-59-17
MLP,2,90,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,33482,65880,79.84996754899475,81.94390153884888,2.2597880015382543,4.391820002638269,10.932523000519723,0.008669844255523777,0.0006058742130927317,0.018698384145913145,0.005326997625393989,0.00019198832640967246,0.0007438361753204181,0.0046378592343082545,2026-09-20_09-00-48
MLP,2,15,0.0001,2000,2000,Sigmoid(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1082,1980,83.84320496700093,86.86917495727539,0.5036820002715103,0.9506659989710897,3.376735003257636,0.036713811226985256,0.3801722868383199,0.07741227613619601,0.02314765625724834,0.7793852587346597,0.24710129620620658,0.20844304903265257,2026-09-20_09-02-10
MLP,1,15,0.01,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,602,1080,71.26441333999537,73.30235815048218,0.5478800012497231,0.9989390018745326,3.8631799980066717,0.08748534041198454,0.6835678943745246,0.10359178870225715,0.08211652431522701,1.0355485017951442,0.5662410252343182,0.38552661739325456,2026-09-20_09-03-37
MLP,2,90,0.0001,2000,2000,Sigmoid(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,33482,65880,80.65376395000203,83.48654246330261,2.502553994418122,6.261098002141807,14.26912300667027,0.014053440838903693,0.1232967081121081,0.020779656239242123,0.011811369038790884,0.2062979272076614,0.09562963508025699,0.0686750744755059,2026-09-20_09-04-50
MLP,3,104,0.0001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,66354,131040,91.01743578600144,93.2161226272583,3.287916006229352,7.158234999224078,18.39950900466647,0.006273191270443303,0.0009985925214625556,0.008724520227874026,0.005456081617966396,0.0004580928693593072,0.0011787590721636383,0.0036358918959529295,2026-09-20_09-06-13
MLP,3,104,0.0001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,66354,131040,84.55489909499738,87.33137893676758,3.5987549999845214,9.389119004481472,20.756914003868587,0.006273191270443303,0.0009985925214625556,0.008724520227874026,0.005456081617966396,0.0004580928693593072,0.0011787590721636383,0.0036358918959529295,2026-09-20_09-07-47
MLP,3,104,0.001,2000,2000,Sigmoid(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,66354,131040,91.05606652500137,93.86468434333801,3.593867993913591,7.377633999567479,21.421105004264973,0.022668392485142623,0.2147336380408288,0.05347082569858342,0.012400914747329022,0.4257900250427636,0.14438150904018382,0.11870101526298571,2026-09-20_09-09-14
MLP,3,15,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1562,2880,89.66664415899868,92.40297198295593,2.2008829982951283,1.2340510002104566,2.963581995572895,0.00701440766253597,0.021451069251701604,0.012159787117064554,0.005299281177693109,0.04745501864764956,0.012783086119718953,0.014232738457118787,2026-09-20_09-10-48
MLP,3,104,0.01,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,66354,131040,21.504629915994883,22.244113206863403,3.147831004753243,6.673264004348312,18.822047000867315,0.015192913365546639,0.027923733968017894,0.043779743687290144,0.005663969924965469,0.04059696000753425,0.023699325288179102,0.021558323666782266,2026-09-20_09-12-20
MLP,1,104,0.001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,22674,44512,73.53880023000238,76.30909156799316,1.6657279993523844,3.2307639994542114,6.644949004112277,0.06653893899437292,3.521236343398944,0.08864268584868348,0.05917102337626941,5.201172306173296,2.9612576891408264,1.7938876411966584,2026-09-20_09-12-43
MLP,3,90,0.0001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,49862,98280,86.84179621100338,88.96523761749268,3.086686003371142,7.506833993829787,24.747700001171324,0.00435886920990895,0.0007913611207787388,0.0023894627847213393,0.005015338018304819,0.000402564341384305,0.00092096004724355,0.0025751151653438443,2026-09-20_09-13-59
MLP,3,90,0.0001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,49862,98280,87.66629630299576,90.50717544555664,4.093076000572182,8.789573999820277,23.494571003539022,0.00435886920990895,0.0007913611207787388,0.0023894627847213393,0.005015338018304819,0.000402564341384305,0.00092096004724355,0.0025751151653438443,2026-09-20_09-15-28
MLP,3,90,0.01,2000,2000,Sigmoid(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,49862,98280,88.01239565900323,90.8453094959259,3.6376740026753396,8.166198997059837,21.531227001105435,0.007641144348489495,0.11495610883189604,0.02306219509877266,0.0025007940983951056,0.1875045896023367,0.09077328190841583,0.061298626590192765,2026-09-20_09-16-58
MLP,3,90,0.001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,49862,98280,87.03090651299863,89.85725212097168,3.394803003175184,7.767262002744246,20.846428000368178,0.0021213773076868025,0.000518531734903517,0.0010753034446446832,0.0024700685953675085,0.00019141655916934602,0.0006275701268149074,0.0013199545212951597,2026-09-20_09-18-29
MLP,3,90,0.001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,49862,98280,82.8850824310066,85.07901215553284,3.318845003377646,28.43803800351452,172.5596860051155,0.0021213773076868025,0.000518531734903517,0.0010753034446446832,0.0024700685953675085,0.00019141655916934602,0.0006275701268149074,0.0013199545212951597,2026-09-20_09-19-59
MLP,3,90,0.001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,49862,98280,83.68595593299688,86.53586912155151,3.319274997920729,8.030233002500609,19.24279499507975,0.0021213773076868025,0.000518531734903517,0.0010753034446446832,0.0024700685953675085,0.00019141655916934602,0.0006275701268149074,0.0013199545212951597,2026-09-20_09-21-24
MLP,3,90,0.001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,49862,98280,91.40184020699962,94.39954853057861,3.6624389977077954,7.939233997603878,20.52611199906096,0.0021213773076868025,0.000518531734903517,0.0010753034446446832,0.0024700685953675085,0.00019141655916934602,0.0006275701268149074,0.0013199545212951597,2026-09-20_09-22-51
MLP,1,90,0.001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,17102,33480,77.61733235800057,79.9309389591217,1.3185429997975007,3.458144004980568,5.403622999438085,0.11165212435772903,3.73057643114481,0.17125603120059757,0.09178415541010618,4.811741256754266,3.3701881559416584,1.9211142777512695,2026-09-20_09-24-25
MLP,3,15,0.001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1562,2880,91.74292339900421,94.62120985984802,1.0563969990471378,5.735542996262666,17.469284997787327,0.010080264775326132,0.011203530598566587,0.0036090368723784437,0.012237340742975363,0.017628418755350463,0.00906190121297196,0.010641897686946358,2026-09-20_09-25-45
MLP,2,90,0.01,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,33482,65880,79.54579648700019,81.61128306388855,2.5455310023971833,5.590500994003378,13.52051499998197,0.00984082944038934,0.02555518510245694,0.00315203843590387,0.012070426441884498,0.026573696550423624,0.025215681286468047,0.01769800727142314,2026-09-20_09-27-20
