model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,lambda_pde_scheduler,adaptive_weights,alpha,update_every,regularization,pde_alpha,pde_beta,epsilon,parameters,flops,training_time_sec,compute_time_sec,evaluation_time_ms,first_derivative_time_ms,second_derivative_time_ms,err_u_global,err_k_global,err_u_inside,err_u_outside,err_k_inside,err_k_outside,mean_global_error,timestamp
MLP,2,15,0.01,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1082,1980,61.71653042200023,62.30615234375,0.6967529998291866,2.202806000241253,8.211079999909998,0.020316628631783358,0.10771156945632872,0.03631101713669754,0.010063815487607597,0.18238502653814923,0.05984396876285401,0.06401409904405604,2026-09-15_10-21-28
MLP,2,15,0.0001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1082,1980,63.515296402999866,64.11406898498535,0.5832679999002721,2.1418370001811127,8.197025000299618,0.012000040950134622,0.15402609419279112,0.02127193151324914,0.006056521358394545,0.278114005598747,0.07448256124025526,0.08301306757146287,2026-09-15_10-22-31
MLP,2,104,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,44514,87776,68.84218444999988,69.62185263633728,18.518802000016876,40.50601999961145,29.546863000177837,0.016613762537920667,0.00029409675879015895,0.03778048133141653,0.003045353054910496,0.00018909741701463603,0.0003614040291590839,0.008453929648355413,2026-09-15_10-23-35
MLP,2,90,0.001,2000,2000,Sigmoid(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,33482,65880,71.32431896299977,71.9798367023468,2.8035510003974196,5.511656999715342,14.449165999849356,0.012399081086505344,0.0004180266929743029,0.021142967741045127,0.006794025538723433,0.00041747890194257183,0.0004183778410715664,0.0064085538897398235,2026-09-15_10-24-44
MLP,1,15,0.01,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,602,1080,65.3384055749998,66.0109646320343,1.391319000049407,0.9817419995670207,3.6692200001198216,0.08957099605911328,0.764366435998588,0.10359360457116593,0.08058214444882313,1.0356419957444905,0.5904718464178812,0.42696871602885067,2026-09-15_10-25-56
MLP,3,104,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,66354,131040,79.56710521200011,80.2500524520874,3.822267000032298,7.943652999983897,25.482152000222413,0.004612946861269376,0.0001724787650290514,0.009529285267498392,0.0014614478829174436,0.00012933130559204738,0.00020013739287328474,0.0023927128131492137,2026-09-15_10-27-02
MLP,2,90,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,33482,65880,73.12740233300019,74.01245975494385,2.636746000007406,5.17144500008726,12.545814999612048,0.009460827778843169,0.0004083700431365701,0.018698653266039634,0.0035391447742300496,0.00019198869924288455,0.0005470760328120095,0.00493459891098987,2026-09-15_10-28-23
MLP,2,15,0.0001,2000,2000,Sigmoid(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1082,1980,72.02935492799998,72.6830587387085,0.7469919996765384,2.5598939996598347,8.59917600018889,0.04423280009434295,0.4457004496084479,0.07740676030537355,0.022967440984707942,0.7792213499825607,0.23190500065068317,0.24496662485139542,2026-09-15_10-29-37
MLP,1,15,0.01,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,602,1080,58.852591089999805,59.521010398864746,0.6136239999250392,1.076397999895562,3.719413999988319,0.08957099605911328,0.764366435998588,0.10359360457116593,0.08058214444882313,1.0356419957444905,0.5904718464178812,0.42696871602885067,2026-09-15_10-30-49
MLP,2,90,0.0001,2000,2000,Sigmoid(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,33482,65880,69.7389368449999,70.50838851928711,14.588932000151544,34.29496299941093,57.73169300027803,0.015333530132691488,0.1324625856912632,0.020781709608518894,0.011841107391776481,0.2062976206338984,0.08513243508700989,0.07389805791197734,2026-09-15_10-31-49
MLP,3,104,0.0001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,66354,131040,79.66169952900054,80.33242440223694,3.7281140002960456,7.908204000159458,21.6627840000001,0.005958843760621064,0.0006735142211383143,0.008724248142661779,0.004186148643928299,0.0004580900138489905,0.0008116066617083936,0.003316178990879689,2026-09-15_10-32-59
MLP,3,104,0.0001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,66354,131040,73.27365904399994,73.94747734069824,3.6886850002701976,7.767895000142744,20.975725000425882,0.005958843760621064,0.0006735142211383143,0.008724248142661779,0.004186148643928299,0.0004580900138489905,0.0008116066617083936,0.003316178990879689,2026-09-15_10-34-20
