number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_layers,params_hidden_units,params_learning_rate,user_attrs_compute_time_sec,user_attrs_err_k,user_attrs_err_u,system_attrs_tpe:relative_params:0,state
0,0.05457699624546126,2026-09-20 08:52:38.888118,2026-09-20 08:53:53.131112,0 days 00:01:14.242994,Tanh,2,15,0.01,74.23283982276917,0.09151494439172426,0.017639048099198255,,COMPLETE
1,0.06820994108433058,2026-09-20 08:53:53.131753,2026-09-20 08:55:18.232208,0 days 00:01:25.100455,Tanh,2,15,0.0001,85.09466981887817,0.12654671089354863,0.009873171275112535,,COMPLETE
2,0.006494340359377906,2026-09-20 08:55:18.232880,2026-09-20 08:56:40.452392,0 days 00:01:22.219512,Tanh,2,104,0.001,82.21355867385864,0.0005581269897004871,0.012430553729055325,,COMPLETE
3,0.005614167676590781,2026-09-20 08:56:40.453001,2026-09-20 08:58:03.300215,0 days 00:01:22.847214,Sigmoid,2,90,0.001,82.84145665168762,0.000541494116056712,0.01068684123712485,,COMPLETE
4,0.38552661739325456,2026-09-20 08:58:03.300803,2026-09-20 08:59:17.530512,0 days 00:01:14.229709,Tanh,1,15,0.01,74.223388671875,0.6835678943745246,0.08748534041198454,,COMPLETE
5,0.002080434077461247,2026-09-20 08:59:17.531793,2026-09-20 09:00:48.261917,0 days 00:01:30.730124,Tanh,3,104,0.001,90.7222580909729,0.00030675461716391357,0.0038541135377585804,,COMPLETE
6,0.0046378592343082545,2026-09-20 09:00:48.262634,2026-09-20 09:02:10.214159,0 days 00:01:21.951525,Tanh,2,90,0.001,81.94390153884888,0.0006058742130927317,0.008669844255523777,,COMPLETE
7,0.20844304903265257,2026-09-20 09:02:10.214864,2026-09-20 09:03:37.091481,0 days 00:01:26.876617,Sigmoid,2,15,0.0001,86.86917495727539,0.3801722868383199,0.036713811226985256,,COMPLETE
8,0.38552661739325456,2026-09-20 09:03:37.092178,2026-09-20 09:04:50.401112,0 days 00:01:13.308934,Tanh,1,15,0.01,73.30235815048218,0.6835678943745246,0.08748534041198454,,COMPLETE
9,0.0686750744755059,2026-09-20 09:04:50.401796,2026-09-20 09:06:13.896175,0 days 00:01:23.494379,Sigmoid,2,90,0.0001,83.48654246330261,0.1232967081121081,0.014053440838903693,,COMPLETE
10,0.0036358918959529295,2026-09-20 09:06:13.897057,2026-09-20 09:07:47.121221,0 days 00:01:33.224164,Tanh,3,104,0.0001,93.2161226272583,0.0009985925214625556,0.006273191270443303,"{""activation"": ""Tanh"", ""hidden_layers"": 3, ""hidden_units"": 104, ""learning_rate"": 0.0001}",COMPLETE
