model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,lambda_pde_scheduler,adaptive_weights,alpha,update_every,regularization,pde_alpha,pde_beta,epsilon,parameters,flops,compute_time_sec,err_u_global,err_k_global,mean_global_error,timestamp
KAN,1,25,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1500,2754,20.778302907943726,0.10469166127694443,0.16286145328626978,0.1337765572816071,2026-09-08_15-45-31
KAN,1,30,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1800,3304,18.605538845062256,0.1432400457322622,0.02685783426406733,0.08504893999816476,2026-09-08_15-45-52
KAN,1,35,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,2100,3854,17.724947929382324,0.10768631984771815,0.14765915274330846,0.1276727362955133,2026-09-08_15-46-10
KAN,2,25,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,14000,25304,25.758193731307983,0.12058569669263534,0.018638889886084534,0.06961229328935994,2026-09-08_15-46-28
KAN,2,30,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,19800,35764,25.8112530708313,0.14984074497146777,0.02545235040416369,0.08764654768781573,2026-09-08_15-46-54
KAN,2,35,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26600,48024,27.057319402694702,0.10526878806587495,0.017910926672326053,0.0615898573691005,2026-09-08_15-47-20
KAN,3,25,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26500,47854,33.189708948135376,0.10343421395430855,0.017002503298225388,0.06021835862626697,2026-09-08_15-47-47
KAN,3,30,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,37800,68224,32.36016774177551,0.09784831677962941,0.02032724971768796,0.05908778324865868,2026-09-08_15-48-20
KAN,3,35,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,51100,92194,35.476935625076294,0.08309066419224377,0.017552941386730095,0.05032180278948693,2026-09-08_15-48-52
MLP,1,25,0.001,200,200,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1502,2800,5.2729103565216064,0.08312284643623855,0.38954047742259207,0.2363316619294153,2026-09-08_15-49-55
MLP,1,28,0.001,200,200,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1850,3472,5.74268651008606,0.058746220614446634,0.3016497361134842,0.18019797836396542,2026-09-08_15-50-00
MLP,1,30,0.001,200,200,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,2102,3960,5.608716249465942,0.11786433570835632,0.4211646865366549,0.26951451112250563,2026-09-08_15-50-06
MLP,2,58,0.001,200,200,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,14154,27608,6.428097486495972,0.05593170631978314,0.0037658008067232244,0.029848753563253182,2026-09-08_15-50-11
MLP,2,69,0.001,200,200,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,19874,38916,6.443667650222778,0.07042918602476464,0.0037085238917776964,0.03706885495827117,2026-09-08_15-50-18
MLP,2,80,0.001,200,200,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26562,52160,6.415334224700928,0.04848957956226865,0.0025886030875347434,0.0255390913249017,2026-09-08_15-50-24
MLP,3,65,0.001,200,200,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26262,51480,7.711470127105713,0.05040476331718203,0.0031558935479362575,0.026780328432559144,2026-09-08_15-50-31
MLP,3,78,0.001,200,200,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,37598,73944,8.468364477157593,0.04403769032752748,0.002644982333746521,0.023341336330637,2026-09-08_15-50-39
MLP,3,91,0.001,200,200,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,50962,100464,8.293025016784668,0.04870860193858633,0.0024085795562941562,0.025558590747440244,2026-09-08_15-50-47
