model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,lambda_pde_scheduler,adaptive_weights,alpha,update_every,regularization,pde_alpha,pde_beta,epsilon,parameters,flops,compute_time_sec,err_u_global,err_k_global,mean_global_error,timestamp
KAN,1,25,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1500,2754,169.64141178131104,0.04289984661802804,0.5909765893889151,0.31693821800347155,2026-09-09_11-35-37
KAN,1,30,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1800,3304,179.95193004608154,0.04496853333200809,0.04672442068827277,0.04584647701014043,2026-09-09_11-38-26
KAN,1,35,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,2100,3854,183.90840935707092,0.08893357122771851,0.33899604227272045,0.21396480675021948,2026-09-09_11-41-26
KAN,2,25,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,14000,25304,267.55474162101746,0.008612083976404412,0.0012609997506603477,0.00493654186353238,2026-09-09_11-44-30
KAN,2,30,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,19800,35764,272.36482977867126,0.008596524040192552,0.0031133094579826014,0.005854916749087577,2026-09-09_11-48-57
KAN,2,35,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26600,48024,260.58450198173523,0.009501432307069449,0.0020533158725274366,0.005777374089798443,2026-09-09_11-53-30
KAN,3,25,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26500,47854,331.2193007469177,0.0037230404577954504,0.002864933126919495,0.0032939867923574727,2026-09-09_11-57-50
KAN,3,30,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,37800,68224,338.77366185188293,0.006486709586852707,0.0017302715238903383,0.0041084905553715224,2026-09-09_12-03-21
KAN,3,35,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,51100,92194,344.68847465515137,0.00519914373425813,0.011856677313156204,0.008527910523707168,2026-09-09_12-09-00
MLP,1,25,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1502,2800,57.72919487953186,0.16551030531457392,0.8943275888602402,0.529918947087407,2026-09-09_13-42-45
MLP,1,28,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1850,3472,57.60565757751465,0.05509556964403066,0.6623291528052161,0.35871236122462336,2026-09-09_13-43-43
MLP,1,30,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,2102,3960,62.71114492416382,0.059660095103322874,0.7210861143261078,0.3903731047147153,2026-09-09_13-44-40
MLP,2,58,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,14154,27608,68.35714721679688,0.010377032013005737,0.00024676799642288545,0.005311900004714311,2026-09-09_13-45-43
MLP,2,69,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,19874,38916,65.87599301338196,0.013245095879882093,0.0003003820064784572,0.006772738943180275,2026-09-09_13-46-51
MLP,2,80,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26562,52160,66.63212084770203,0.005776633623964477,0.0001996200998244809,0.002988126861894479,2026-09-09_13-47-57
MLP,3,65,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26262,51480,78.08497476577759,0.008404613676160107,0.0007726875564150407,0.004588650616287574,2026-09-09_13-49-04
MLP,3,78,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,37598,73944,75.44064664840698,0.016170702158051976,0.00034687073028150095,0.008258786444166739,2026-09-09_13-50-22
MLP,3,91,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,50962,100464,75.3577721118927,0.011032536532075954,0.000628337461613768,0.005830436996844861,2026-09-09_13-51-37
