model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,lambda_pde_scheduler,adaptive_weights,alpha,update_every,regularization,pde_alpha,pde_beta,epsilon,parameters,flops,compute_time_sec,err_u_global,err_k_global,err_u_inside,err_u_outside,err_k_inside,err_k_outside,mean_global_error,timestamp
MLP,1,25,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1502,2800,60.873104095458984,0.16551030531457392,0.8943275888602402,0.20399375704218048,0.14084142600200558,1.1547822369429868,0.7273694811148899,0.529918947087407,2026-09-09_14-24-33
MLP,1,28,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1850,3472,64.208811044693,0.05509556964403066,0.6623291528052161,0.05900427518501086,0.05258998916904333,0.8776716843475143,0.5242890684832301,0.35871236122462336,2026-09-09_14-25-34
MLP,1,30,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,2102,3960,60.47899770736694,0.059660095103322874,0.7210861143261078,0.06869175920932277,0.05387056683024602,0.8239298769979354,0.6551606254339105,0.3903731047147153,2026-09-09_14-26-39
MLP,2,58,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,14154,27608,65.78043341636658,0.010377032013005737,0.00024676799642288545,0.020162190352828773,0.004104494615683276,0.00029686121251082875,0.0002146569604690757,0.005311900004714311,2026-09-09_14-27-39
MLP,2,69,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,19874,38916,74.42175841331482,0.013245095879882093,0.0003003820064784572,0.027581296327304765,0.004055223798200892,0.00017912202154353316,0.0003781127660521264,0.006772738943180275,2026-09-09_14-28-45
MLP,2,80,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26562,52160,67.0513379573822,0.005776633623964477,0.0001996200998244809,0.00882430340801691,0.00382299914700779,0.00018182038562920572,0.00021103017302658036,0.002988126861894479,2026-09-09_14-29-59
MLP,3,65,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26262,51480,74.79030895233154,0.008404613676160107,0.0007726875564150407,0.018630245433164543,0.001849721524234188,0.000290855541304638,0.0010815542327678631,0.004588650616287574,2026-09-09_14-31-06
MLP,3,78,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,37598,73944,75.94115376472473,0.016170702158051976,0.00034687073028150095,0.03580751665947672,0.0035830005545745805,0.00030491370862495263,0.00037376625698441653,0.008258786444166739,2026-09-09_14-32-21
MLP,3,91,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,50962,100464,84.3353590965271,0.011032536532075954,0.000628337461613768,0.02513526133024483,0.0019923283281215428,0.0002342798665298923,0.0008809384841034318,0.005830436996844861,2026-09-09_14-33-37
KAN,1,25,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1500,2754,173.5450873374939,0.03569104317390787,0.5157759420862225,0.045493654930263236,0.029407317689064683,0.6000343999121488,0.4617641101465261,0.2757334926300652,2026-09-09_14-36-01
