n_obs_k,run_dir,training_time_sec,error_u,error_k
100,results/coefficient_field_sweep/n_obs_k_100,418.2385217230003,0.0540151447057724,0.00024776472127996385
90,results/coefficient_field_sweep/n_obs_k_90,421.17842080099945,0.03290368989109993,0.00028945281519554555
80,results/coefficient_field_sweep/n_obs_k_80,417.7807727549989,0.028904784470796585,0.0002205722703365609
70,results/coefficient_field_sweep/n_obs_k_70,417.7354003190012,0.02143346704542637,0.00023219191643875092
60,results/coefficient_field_sweep/n_obs_k_60,416.459178764002,0.02943044900894165,0.000280239648418501
50,results/coefficient_field_sweep/n_obs_k_50,412.32452890700006,0.018585382029414177,0.00030880930717103183
40,results/coefficient_field_sweep/n_obs_k_40,415.1292027849995,0.03233291581273079,0.0003168935945723206
30,results/coefficient_field_sweep/n_obs_k_30,417.51513891099967,0.05074121803045273,0.0001528623979538679
20,results/coefficient_field_sweep/n_obs_k_20,422.95586373399783,0.042409747838974,9.726253483677283e-05
10,results/coefficient_field_sweep/n_obs_k_10,424.55282975999944,0.0905892625451088,7.993369217729196e-05
0,results/coefficient_field_sweep/n_obs_k_0,393.50494800699744,0.0008656284189783037,0.0
